timestamp,length,direction
1737125738.147723000,156,1
1737125738.297123000,147,1
1737125738.297215000,147,1
1737125738.300262000,148,1
1737125738.316876000,156,-1
1737125738.317272000,144,1
1737125738.371249000,164,1
1737125738.376944000,249,1
1737125738.509643000,286,-1
1737125738.564426000,432,-1
1737125738.568743000,156,-1
1737125738.569008000,144,1
1737125738.595047000,155,1
1737125738.595709000,175,1
1737125738.751527000,459,-1
1737125738.812566000,249,1
1737125738.843501000,253,1
1737125738.843934000,239,1
1737125738.875155000,249,1
1737125740.185004000,152,1
1737125740.185300000,172,1
1737125740.186595000,152,1
1737125740.186857000,172,1
1737125740.212783000,412,1
1737125740.340060000,204,1
1737125740.553064000,492,-1
1737125740.687319000,196,-1
1737125740.957386000,147,1
1737125741.194646000,420,1
1737125741.229507000,680,-1
1737125741.379140000,249,1
1737125741.860982000,227,1
1737125742.945030000,524,1
1737125743.054024000,210,1
1737125743.139604000,259,-1
1737125743.145530000,486,-1
1737125743.146558000,320,-1
1737125743.148235000,138,1
1737125743.148358000,138,1
1737125743.166899000,600,-1
1737125743.168122000,708,-1
1737125743.174854000,314,-1
1737125743.199994000,248,1
1737125743.201371000,152,1
1737125743.201481000,172,1
1737125743.261512000,410,-1
1737125743.354691000,264,-1
1737125743.354691000,317,-1
1737125743.513052000,204,1
1737125743.513192000,156,1
1737125743.513991000,156,1
1737125743.686977000,196,-1
1737125743.711184000,156,-1
1737125743.711666000,144,1
1737125743.711985000,1466,1
1737125743.711985000,972,1
1737125743.712864000,156,-1
1737125743.713665000,144,1
1737125743.714237000,1466,1
1737125743.714237000,888,1
1737125743.719356000,284,-1
1737125743.720808000,333,-1
1737125743.910775000,144,-1
1737125743.912637000,1406,-1
1737125744.094198000,166,1
1737125744.125337000,1466,1
1737125744.125337000,64,1
1737125744.287485000,475,-1
1737125744.326270000,156,-1
1737125744.348433000,206,1
1737125744.411215000,249,1
1737125744.420846000,984,1
1737125744.481046000,212,1
1737125744.481342000,224,1
1737125744.485395000,224,1
1737125744.509378000,236,1
1737125744.509473000,628,1
1737125744.546962000,408,-1
1737125744.547372000,156,1
1737125744.673808000,669,-1
1737125744.679845000,144,-1
1737125744.679845000,431,-1
1737125744.684565000,144,-1
1737125744.684565000,431,-1
1737125744.686343000,431,-1
1737125744.686955000,144,1
1737125744.707830000,144,-1
1737125744.708816000,144,-1
1737125744.712843000,205,-1
1737125744.712843000,175,-1
1737125744.713329000,144,1
1737125744.713781000,175,1
1737125744.715879000,1406,-1
1737125744.729399000,1406,-1
1737125744.729399000,1406,-1
1737125744.743054000,1406,-1
1737125744.757047000,1406,-1
1737125744.769746000,1406,-1
1737125744.783201000,1406,-1
1737125744.796754000,1406,-1
1737125744.873520000,1406,-1
1737125744.880125000,1406,-1
1737125744.893275000,1406,-1
1737125744.893275000,1406,-1
1737125744.906998000,1406,-1
1737125744.922047000,1406,-1
1737125744.933717000,1406,-1
1737125744.945740000,1406,-1
1737125744.953788000,1406,-1
1737125744.961730000,458,-1
1737125744.962576000,892,1
1737125744.962688000,484,1
1737125744.962956000,416,1
1737125744.963061000,348,1
1737125744.963199000,1406,-1
1737125744.963231000,144,1
1737125744.963466000,144,1
1737125744.963565000,144,1
1737125744.978173000,1406,-1
1737125744.991620000,1406,-1
1737125744.993017000,144,1
1737125744.993160000,144,1
1737125744.993252000,144,1
1737125744.993331000,144,1
1737125745.068341000,1406,-1
1737125745.074555000,1406,-1
1737125745.074973000,144,1
1737125745.075188000,280,1
1737125745.088225000,1406,-1
1737125745.100683000,1406,-1
1737125745.100683000,1406,-1
1737125745.102302000,144,1
1737125745.102912000,280,1
1737125745.116970000,1406,-1
1737125745.126782000,1406,-1
1737125745.128428000,1406,-1
1737125745.138879000,1406,-1
1737125745.140330000,1406,-1
1737125745.146980000,1406,-1
1737125745.148216000,318,-1
1737125745.149130000,175,1
1737125745.160572000,124,-1
1737125745.162599000,124,-1
1737125745.165937000,1406,-1
1737125745.171218000,1406,-1
1737125745.177593000,1406,-1
1737125745.183348000,1406,-1
1737125745.189817000,1406,-1
1737125745.194977000,1406,-1
1737125745.200998000,1406,-1
1737125745.200998000,1406,-1
1737125745.206777000,1406,-1
1737125745.212535000,1406,-1
1737125745.212999000,1406,-1
1737125745.219351000,1406,-1
1737125745.219837000,1406,-1
1737125745.225062000,1406,-1
1737125745.225062000,1406,-1
1737125745.230377000,353,-1
1737125745.347270000,156,-1
1737125745.358882000,1406,-1
1737125745.361714000,892,1
1737125745.411189000,144,1
1737125745.456583000,144,1
1737125745.457479000,144,1
1737125745.457551000,144,1
1737125745.457797000,144,1
1737125745.458044000,144,1
1737125745.458117000,144,1
1737125745.467548000,148,1
1737125745.467667000,148,1
1737125746.289378000,156,1
1737125746.479161000,220,1
1737125746.687046000,196,-1
1737125746.948992000,493,-1
1737125747.016832000,493,-1
1737125747.017228000,521,1
1737125747.056271000,142,1
1737125747.056429000,142,1
1737125747.261591000,334,-1
1737125747.262611000,358,-1
1737125747.264281000,156,1
1737125747.419489000,249,1
1737125747.463205000,156,-1
1737125747.464123000,144,1
1737125747.464294000,1466,1
1737125747.464294000,889,1
1737125747.496538000,150,1
1737125747.663339000,144,-1
1737125747.664186000,414,-1
1737125747.666554000,224,1
1737125747.666785000,1466,1
1737125747.666785000,95,1
1737125747.690524000,292,-1
1737125747.865168000,144,-1
1737125747.865168000,431,-1
1737125747.867108000,144,-1
1737125747.867108000,416,-1
1737125747.874224000,1406,-1
1737125747.874224000,1214,-1
1737125747.874732000,144,1
1737125747.916349000,144,1
1737125748.141070000,622,-1
1737125748.141500000,650,1
1737125748.372337000,1466,1
1737125748.372337000,95,1
1737125748.543942000,622,-1
1737125748.574212000,212,-1
1737125748.574212000,144,-1
1737125748.595485000,1406,-1
1737125748.595485000,1142,-1
1737125748.595950000,144,1
1737125749.321729000,261,1
1737125749.687208000,196,-1
1737125749.776938000,261,1
1737125749.871188000,227,1
1737125749.975824000,251,-1
1737125749.980148000,1466,1
1737125749.980148000,1236,1
1737125749.980530000,188,1
1737125749.980992000,1466,1
1737125749.980992000,1106,1
1737125749.981212000,1466,1
1737125749.981212000,534,1
1737125750.182953000,1406,-1
1737125750.182953000,303,-1
1737125750.404544000,136,1
1737125750.431731000,249,1
1737125750.432308000,1362,-1
1737125750.433789000,1466,1
1737125750.433789000,1110,1
1737125750.434059000,1466,1
1737125750.434059000,608,1
1737125750.481849000,1362,-1
1737125750.483071000,1362,1
1737125750.598409000,136,-1
1737125750.599301000,124,1
1737125750.602058000,392,1
1737125750.636085000,670,-1
1737125750.636507000,140,-1
1737125750.637337000,143,1
1737125750.637599000,143,1
1737125750.650898000,857,-1
1737125750.651364000,995,-1
1737125750.651806000,147,1
1737125750.659260000,134,-1
1737125750.659898000,143,1
1737125750.683120000,137,-1
1737125750.794959000,124,-1
1737125750.794959000,271,-1
1737125750.795582000,124,1
1737125750.798533000,463,1
1737125750.851522000,137,-1
1737125751.036552000,124,-1
1737125751.201703000,1406,-1
1737125751.207896000,427,-1
1737125751.208474000,124,1
1737125751.209391000,172,1
1737125751.234054000,182,1
1737125751.339729000,232,1
1737125751.428124000,124,-1
1737125751.534465000,551,-1
1737125751.558057000,124,1
1737125751.751610000,124,-1
1737125751.998141000,124,1
1737125752.004636000,124,1
1737125752.004774000,124,1
1737125752.113307000,142,1
1737125752.113423000,142,1
1737125752.164186000,124,-1
1737125752.164528000,124,1
1737125752.191327000,136,-1
1737125752.191654000,124,1
1737125753.121243000,208,1
1737125753.315797000,444,-1
1737125753.511338000,472,1
1737125753.640878000,140,1
1737125753.643828000,136,1
1737125753.704306000,456,-1
1737125753.705303000,156,1
1737125753.833498000,156,1
1737125753.905100000,156,-1
1737125753.906485000,144,1
1737125753.907411000,741,1
1737125754.036272000,156,-1
1737125754.036924000,144,1
1737125754.037059000,741,1
1737125754.106170000,144,-1
1737125754.106170000,1406,-1
1737125754.110700000,1406,-1
1737125754.111164000,144,1
1737125754.111298000,144,1
1737125754.236359000,144,-1
1737125754.236359000,1406,-1
1737125754.239911000,1406,-1
1737125754.244070000,405,-1
1737125754.312983000,71,-1
1737125754.430897000,144,1
1737125754.431141000,144,1
1737125754.431300000,156,1
1737125754.439525000,1406,-1
1737125754.439525000,71,-1
1737125754.440428000,156,1
1737125754.440504000,124,-1
1737125754.441221000,156,1
1737125754.481038000,208,1
1737125754.481157000,242,1
1737125754.481424000,208,1
1737125754.481657000,1342,1
1737125754.523351000,1406,-1
1737125754.523351000,71,-1
1737125754.524094000,156,1
1737125754.648189000,136,1
1737125754.649068000,140,1
1737125754.679044000,144,-1
1737125754.679044000,399,-1
1737125754.679672000,144,1
1737125754.679687000,551,-1
1737125754.680119000,144,1
1737125754.680227000,175,1
1737125754.680730000,1153,-1
1737125754.682165000,144,-1
1737125754.682236000,144,1
1737125754.685911000,343,-1
1737125754.687113000,144,1
1737125754.687458000,144,1
1737125754.694776000,1012,-1
1737125754.695748000,144,1
1737125754.727114000,144,1
1737125754.862791000,456,-1
1737125754.863263000,484,1
1737125754.887596000,206,-1
1737125754.888013000,156,1
1737125754.918986000,144,-1
1737125755.662663000,140,1
1737125755.744261000,144,1
1737125755.942516000,144,-1
1737125756.661108000,136,1
1737125757.675849000,140,1
1737125757.676262000,204,1
1737125759.351403000,150,1
1737125759.351617000,150,1
1737125759.545685000,465,-1
1737125759.546232000,292,-1
1737125760.671863000,136,1
1737125761.016845000,149,1
1737125761.017165000,149,1
1737125761.097419000,146,1
1737125761.098313000,146,1
1737125761.223404000,381,-1
1737125761.223404000,357,-1
1737125761.226027000,136,1
1737125761.424261000,136,-1
1737125761.426011000,1466,1
1737125761.426011000,489,1
1737125761.486333000,302,-1
1737125761.517278000,329,-1
1737125761.825204000,1466,1
1737125761.825204000,64,1
1737125761.945924000,1406,-1
1737125761.947952000,1394,-1
1737125761.948460000,124,1
1737125761.956048000,204,1
1737125761.956252000,598,1
1737125762.019822000,147,1
1737125762.019970000,147,1
1737125762.024546000,136,-1
1737125762.154307000,124,-1
1737125762.155160000,124,-1
1737125762.156148000,746,-1
1737125762.156730000,124,1
1737125762.219605000,452,-1
1737125762.219605000,680,-1
1737125762.385021000,136,1
1737125762.393119000,146,1
1737125762.393234000,146,1
1737125762.578621000,136,-1
1737125762.579778000,124,1
1737125762.582783000,392,1
1737125762.586623000,233,-1
1737125762.586623000,234,-1
1737125762.775944000,124,-1
1737125762.775944000,271,-1
1737125762.778897000,124,1
1737125762.788336000,463,1
1737125763.028419000,124,-1
1737125763.182360000,1406,-1
1737125763.189012000,172,1
1737125763.189130000,124,1
1737125763.195074000,182,1
1737125763.264667000,232,1
1737125763.387795000,124,-1
1737125763.457598000,124,-1
1737125763.458372000,392,-1
1737125763.459241000,124,1
1737125763.652466000,148,-1
1737125763.653105000,124,1
1737125764.261066000,124,1
1737125765.572800000,136,1
1737125765.576483000,210,1
1737125766.276772000,263,-1
1737125766.276772000,220,-1
1737125766.278836000,136,1
1737125766.536905000,136,1
1737125766.583604000,136,1
1737125766.977993000,136,-1
1737125766.978893000,124,1
1737125766.980192000,1466,1
1737125766.980192000,786,1
1737125767.283161000,136,1
1737125767.421213000,172,-1
1737125767.422519000,1406,-1
1737125767.425394000,1187,-1
1737125767.426140000,124,1
1737125767.426282000,188,1
1737125767.426501000,1466,1
1737125767.426501000,351,1
1737125767.431643000,1235,-1
1737125767.432159000,136,1
1737125767.654824000,1404,-1
1737125767.655436000,136,1
1737125767.724705000,136,-1
1737125767.726940000,124,1
1737125767.728164000,1466,1
1737125767.728164000,850,1
1737125767.869095000,395,-1
1737125767.869095000,395,-1
1737125767.869095000,124,-1
1737125767.869095000,565,-1
1737125767.870106000,124,1
1737125767.870443000,124,1
1737125767.883048000,565,-1
1737125767.885829000,136,1
1737125767.934206000,210,1
1737125768.142375000,226,-1
1737125768.168924000,124,-1
1737125768.169981000,1406,-1
1737125768.173403000,1186,-1
1737125768.179133000,1234,-1
1737125768.394765000,184,1
1737125768.396195000,188,1
1737125768.396771000,136,1
1737125768.408307000,1404,-1
1737125768.409009000,136,1
1737125768.591422000,136,1
1737125768.653748000,136,1
1737125768.684961000,136,1
1737125768.837198000,395,-1
1737125768.837198000,395,-1
1737125768.838083000,124,1
1737125768.847039000,395,-1
1737125768.847698000,136,1
1737125768.855118000,136,-1
1737125768.856182000,124,1
1737125768.856861000,1466,1
1737125768.856861000,515,1
1737125769.105908000,136,-1
1737125769.106339000,124,1
1737125769.107043000,1466,1
1737125769.107043000,515,1
1737125769.317738000,124,-1
1737125769.321862000,1406,-1
1737125769.562597000,124,-1
1737125769.565160000,1406,-1
1737125769.567091000,1397,-1
1737125769.573042000,1406,-1
1737125769.573941000,172,1
1737125769.578402000,250,1
1737125769.578986000,250,1
1737125769.579161000,832,1
1737125770.033883000,382,-1
1737125770.047920000,993,-1
1737125770.082428000,124,1
1737125770.304822000,172,1
1737125770.309235000,226,1
1737125770.770404000,242,-1
1737125770.996217000,188,-1
1737125770.997948000,136,1
1737125771.249239000,136,1
1737125771.693678000,132,-1
1737125771.694256000,124,1
1737125771.695132000,1466,1
1737125771.695132000,587,1
1737125772.011775000,136,1
1737125772.140474000,124,-1
1737125772.141914000,1406,-1
1737125772.146014000,1392,-1
1737125772.146886000,124,1
1737125772.147318000,124,1
1737125772.157953000,250,1
1737125772.158837000,982,1
1737125772.447325000,132,-1
1737125772.448673000,124,1
1737125772.449405000,1466,1
1737125772.449405000,523,1
1737125772.603176000,398,-1
1737125772.605676000,136,1
1737125772.644677000,743,-1
1737125772.645425000,124,1
1737125772.655167000,979,1
1737125772.885327000,124,-1
1737125772.886463000,1406,-1
1737125772.889406000,1406,-1
1737125772.890561000,124,1
1737125772.893084000,62,-1
1737125772.894298000,124,1
1737125772.895816000,250,1
1737125773.116270000,991,-1
1737125773.123720000,220,1
1737125773.165105000,124,1
1737125773.333935000,398,-1
1737125773.383216000,124,1
1737125773.931899000,365,-1
1737125773.972602000,315,-1
1737125773.974862000,136,1
1737125774.239466000,136,1
1737125774.400226000,136,-1
1737125774.401154000,124,1
1737125774.401584000,1466,1
1737125774.401584000,520,1
1737125774.685488000,136,-1
1737125774.686275000,124,1
1737125774.686870000,1466,1
1737125774.686870000,520,1
1737125774.690693000,136,1
1737125774.830355000,124,-1
1737125774.831801000,1406,-1
1737125774.835644000,124,1
1737125774.835829000,124,1
1737125774.839798000,217,1
1737125774.839975000,928,1
1737125775.265631000,398,-1
1737125775.271162000,668,-1
1737125775.273372000,124,1
1737125775.279611000,979,1
1737125775.281066000,143,1
1737125775.483018000,226,-1
1737125775.586547000,1466,1
1737125775.586547000,64,1
1737125775.750544000,1011,-1
1737125775.757993000,149,1
1737125775.758314000,149,1
1737125775.805667000,124,1
1737125776.034888000,136,-1
1737125776.035237000,1466,1
1737125776.035237000,64,1
1737125776.135525000,239,-1
1737125776.142148000,184,-1
1737125776.144228000,136,1
1737125776.396613000,136,1
1737125776.482191000,136,-1
1737125776.484444000,124,-1
1737125776.486951000,1406,-1
1737125776.490194000,524,-1
1737125776.491037000,124,1
1737125776.491234000,124,1
1737125776.491661000,217,1
1737125776.579947000,136,-1
1737125776.580859000,124,1
1737125776.581569000,1466,1
1737125776.581569000,489,1
1737125776.843446000,136,-1
1737125776.844091000,124,1
1737125776.845154000,1466,1
1737125776.845154000,553,1
1737125776.938790000,398,-1
1737125776.988113000,124,1
1737125777.018157000,124,-1
1737125777.020331000,1406,-1
1737125777.025147000,378,-1
1737125777.026819000,124,1
1737125777.027144000,124,1
1737125777.027664000,945,-1
1737125777.033270000,209,1
1737125777.033471000,928,1
1737125777.283158000,1406,-1
1737125777.283158000,426,-1
1737125777.284647000,124,1
1737125777.284773000,124,1
1737125777.287250000,945,-1
1737125777.288746000,209,1
1737125777.469761000,637,-1
1737125777.717293000,124,1
1737125777.723611000,979,1
1737125777.740282000,374,-1
1737125777.783109000,124,1
1737125777.885051000,155,-1
1737125777.885051000,124,-1
1737125777.886150000,124,1
1737125778.183402000,1011,-1
1737125778.191142000,124,1
1737125778.191386000,928,1
1737125778.232678000,124,1
1737125778.371334000,637,-1
1737125778.372023000,136,1
1737125778.626277000,124,-1
1737125778.629621000,637,-1
1737125778.640988000,979,1
1737125778.683912000,124,1
1737125779.101484000,464,-1
1737125779.107298000,893,1
1737125779.502570000,492,1
1737125779.566834000,770,-1
1737125779.567120000,124,1
1737125779.568064000,124,1
1737125779.571730000,141,1
1737125779.571907000,141,1
1737125779.777834000,168,-1
1737125779.865190000,180,-1
1737125779.867785000,136,1
1737125779.966769000,400,-1
1737125779.969316000,412,-1
1737125779.969316000,387,-1
1737125779.969316000,399,-1
1737125779.981221000,1466,1
1737125779.981221000,1236,1
1737125779.981990000,1362,1
1737125779.982469000,1362,1
1737125779.986116000,148,1
1737125779.986388000,148,1
1737125780.026445000,124,-1
1737125780.045036000,1466,1
1737125780.045036000,1236,1
1737125780.124080000,136,1
1737125780.169423000,1466,1
1737125780.169423000,1236,1
1737125780.183883000,1362,-1
1737125780.183883000,1362,-1
1737125780.185181000,224,-1
